aspect_ratio,beauty,random_value
0.6156748379152162,2,-0.34987974339840155
0.34700876954143506,5,-0.7634779860504559
0.39438750688714985,4,-0.6711571215317915
0.44964746354971696,4,-0.576566882184687
3.8628428601293283,6,0.9748314950723616
0.6740984329456787,2,-0.2844844117149554
0.6051153218507909,2,-0.362358989962815
0.48601295228390157,3,-0.520466666303095
1.5567655369687134,1,0.31927583889966216
3.0596759244154055,4,0.806689426622603
1.9329268446469139,3,0.47539351849979794
3.0168805341374383,4,0.7965287840692981
3.467814101753142,5,0.8970132812194298
0.6832414976883519,3,-0.27476624651962056
3.7769391455670775,5,0.9586087695570511
3.178249519638171,4,0.8341161964863009
0.9989715326963107,6,-0.0007422641020151666
0.7766938419429714,3,-0.1822910336822936
0.2720027940348552,7,-0.9391533119273323
0.26910501173131707,7,-0.9468794176687698
1.181416831369744,3,0.1202590354795312
0.6630550591483423,2,-0.2963997101162634
0.2736404367102843,7,-0.9348233286570657
0.6817927496971945,3,-0.2762974185990892
0.5328543667113637,3,-0.4540934039648554
3.889476704543784,5,0.9797880330628403
0.4660889960787285,4,-0.5506613211383224
0.6311732129203338,3,-0.33194605820830336
0.8699673768403998,3,-0.10048339647622773
3.4083780832211725,5,0.8845426895738198
0.46546818148705543,4,-0.5516227718005904
2.0307504627227386,3,0.5110064865550492
0.46425525721085315,4,-0.5535049238021237
0.9461279868407501,3,-0.03994636924963646
1.800479568552245,3,0.42419061411688785
1.0474378118818042,5,0.03343229563628092
1.601486928292344,3,0.33970601127460154
0.30165517366906086,6,-0.8645138843690632
0.9349201171493761,3,-0.048542496770198174
0.2821564518354457,6,-0.9127163780139138
3.881578665103957,5,0.9783217629471508
0.5510512682236225,3,-0.42987077282663466
2.1999478637921284,4,0.5687346669795552
0.6784452669579337,3,-0.2798478314222199
0.921109223716123,2,-0.059277927933237606
0.43623165315133205,4,-0.5984168192773105
2.526368720177596,3,0.6685326069639694
1.4859565689607865,1,0.28569597494345156
2.7899775960107767,3,0.740126768508607
0.9099309972612182,3,-0.06808547461413172
